Quote,all_tags
Mimì never forgets to see the beauty in life.,
"I will choose the bad guy in every story, I am attracted to villians","confusion,realization,curiosity"
"Even perfect people are taught to practice imperfections just to fit in the society. Thus, the famous saying of 'no one is perfect' still prevails.","fear,disappointment,love,curiosity,annoyance,confusion"
"The greater your capacity to love, the greater your capacity to feel the pain","joy,sadness,love,confusion,realization,curiosity"
We Turks are faithful muslims.,
Choose a lazy person to do a hard job. Because a lazy person will find an easy way to do it.,"love,curiosity,annoyance,admiration,confusion,realization"
Intelligence is the ability to adapt to change.,admiration
"The prayer of the true soldier is not to die peacefully, but to leave the country and its citizens with peace of mind.","desire,admiration"
"If you look at the darkness, not light, every day, your life will be filled with darkness.",disappointment
Rewards and punishment is the lowest form of education.,"fear,love"
You cannot regulate desire.,desire
Be willing to be a beginner every single morning.,joy
I'd rather be called a boy and play with paper air-planes than be called a man and play with a girl's heart.,"fear,curiosity,desire,confusion,realization"
"I am not well read, but when I do read, I read well.","optimism,disappointment,sadness,annoyance,admiration"
Recession is when your neighbor loses his job. Depression is when you lose yours. And recovery is when Jimmy Carter loses his.,"fear,sadness,curiosity,confusion,realization"
Why are our songs so dark but our shows a celebration? Because our songs are to help you get through those dark times and our shows are a celebration of you making it through another day. Our shows are celebrating the fact that you’re not alone. So let’s celebrate.,
They laugh at me because I'm different; I laugh at them because they're all the same.,"joy,amusement"
"If it's not important for you, then it's not important for me.",optimism
You never know how strong you can be until being strong is the only choice you have left.,"admiration,optimism,annoyance"
There is no such thing as public money; there is only taxpayers’ money.,
"She helped me feel like I could take risks with the music, which you’re often told not to do. When you watch her, you see that it makes a difference. From now on, I am not going to be afraid to individualize my performances to the max. I won’t be afraid of liberties, if the score permits them. I know I can do it.","optimism,sadness,curiosity,disappointment,love,annoyance,admiration,confusion"
Education is the sum of what students teach each other between lectures and seminars.,"optimism,love"
Arrest me for sitting on a bus? You may do that.,"nervousness,curiosity"
Fear no man but only God,"fear,annoyance"
"The desire to die was my one and only concern; to it I have sacrificed everything, even death.","desire,admiration,annoyance"
"Smile, breathe and go slowly.",
"When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.","fear,optimism,love,curiosity,desire,realization"
"You must worship the Self in Krishna, not Krishna as Krishna.",
"School, I never truly got the knack of. I could never focus on things I didn't want to learn.","desire,disappointment"
